연번,구분,관측지점,2018년 조사 시작일,2018년 조사 완료일,2018년 상행,2018년 하행,2018년 합계,2019년조사 시작일,2019년 조사 종료일,2019년 상행,2019년 하행,2019년 합계,2020년조사 시작일,2020년 조사 종료일,2020년 상행,2020년 하행,2020년 합계,2021년조사 시작일,2021년 조사 종료일,2021년 상행,2021년 하행,2021년 합계,2022년조사 시작일,2022년 조사 종료일,2022년 상행,2022년 하행,2022년 합계
1,국지도(30-07),내서읍 용담리 162-2,2018-10-25,2018-10-26,12741,14887,27628,2019-10-17,2019-10-18,13306,15392,28698,2020-10-15,2020-10-16,13227,15259,28486,2021-10-14,2021-10-15,13761,12874,26635,2022-10-20,2022-10-21,12937,14560,27497
2,국지도(30-03),의창구 동읍 신방리,2018-10-25,2018-10-26,7056,9405,15952,2019-10-17,2019-10-18,6767,6052,12819,2020-10-15,2020-10-16,6452,7346,13798,2021-10-14,2021-10-15,7355,6987,14342,2022-10-20,2022-10-21,7022,7174,14196
3,국지도(60-13),북면 내곡 탐앤탐스,2018-10-25,2018-10-26,3604,3176,6780,2019-10-17,2019-10-18,3877,3422,7299,2020-10-15,2020-10-16,3729,4463,8192,2021-10-14,2021-10-15,3686,3927,7613,2022-10-20,2022-10-21,3894,3477,7371
4,국지도(60-20),북면 신촌리 농기계센터 앞,2018-10-25,2018-10-26,6603,4199,10802,2019-10-17,2019-10-18,6220,5880,12100,2020-10-15,2020-10-16,5745,5672,11417,2021-10-14,2021-10-15,6856,5785,12641,2022-10-20,2022-10-21,6428,5814,12242
5,국지도(60-28),북면 신촌리 북면운동장 앞,2018-10-25,2018-10-26,3284,2996,6280,2019-10-17,2019-10-18,3344,3195,6539,2020-10-15,2020-10-16,4733,4020,8753,2021-10-14,2021-10-15,5492,5783,11275,2022-10-20,2022-10-21,6449,6448,12897
6,지방도(1002-10),진동면 요장리,2018-10-25,2018-10-26,3265,2683,5948,2019-10-17,2019-10-18,2937,2774,5711,2020-10-15,2020-10-16,3013,2792,5805,2021-10-14,2021-10-15,1940,2474,4414,2022-10-20,2022-10-21,2836,2595,5431
7,지방도(1002-13),진전면 시락,2018-10-25,2018-10-26,700,777,1477,2019-10-17,2019-10-18,794,760,1554,2020-10-15,2020-10-16,780,765,1545,2021-10-14,2021-10-15,885,774,1659,2022-10-20,2022-10-21,739,688,1427
8,지방도(1020-01),성산구 불모산동,2018-10-25,2018-10-26,44189,45817,90006,2019-10-17,2019-10-18,47409,40616,88025,2020-10-15,2020-10-16,46477,45154,91631,2021-10-14,2021-10-15,42871,36557,79428,2022-10-20,2022-10-21,40173,41197,81370
9,지방도(1021-05),진북면 지산리,2018-10-25,2018-10-26,1737,1627,3364,2019-10-17,2019-10-18,3363,3478,6841,2020-10-15,2020-10-16,1807,1557,3364,2021-10-14,2021-10-15,2039,1765,3804,2022-10-20,2022-10-21,2176,2073,4249
10,지방도(1029-01),진전면 양촌,2018-10-25,2018-10-26,1020,952,1972,2019-10-17,2019-10-18,1078,911,1989,2020-10-15,2020-10-16,956,962,1918,2021-10-14,2021-10-15,1041,1036,2077,2022-10-20,2022-10-21,1016,972,1988
