기준년월,구단위코드,구, 유동인구수 
2020-01,48121,의창구,19858672
2020-01,48123,성산구,24125985
2020-01,48125,마산합포구,16513981
2020-01,48127,마산회원구,16183841
2020-01,48129,진해구,15441798
2020-02,48121,의창구,18029590
2020-02,48123,성산구,21798043
2020-02,48125,마산합포구,15027378
2020-02,48127,마산회원구,14641041
2020-02,48129,진해구,14390647
2020-03,48121,의창구,18555157
2020-03,48123,성산구,20215825
2020-03,48125,마산합포구,15893494
2020-03,48127,마산회원구,13690625
2020-03,48129,진해구,14248446
2020-04,48121,의창구,18949193
2020-04,48123,성산구,20349405
2020-04,48125,마산합포구,15334231
2020-04,48127,마산회원구,13694263
2020-04,48129,진해구,13969562
2020-05,48121,의창구,20426024
2020-05,48123,성산구,21826398
2020-05,48125,마산합포구,16677442
2020-05,48127,마산회원구,14964869
2020-05,48129,진해구,14906391
2020-06,48121,의창구,19818126
2020-06,48123,성산구,21847284
2020-06,48125,마산합포구,16273078
2020-06,48127,마산회원구,14750094
2020-06,48129,진해구,14344384
2020-07,48121,의창구,20298502
2020-07,48123,성산구,22634189
2020-07,48125,마산합포구,16783875
2020-07,48127,마산회원구,15030024
2020-07,48129,진해구,14833864
2020-08,48121,의창구,19413651
2020-08,48123,성산구,20882153
2020-08,48125,마산합포구,16078151
2020-08,48127,마산회원구,14345324
2020-08,48129,진해구,14287401
2020-09,48121,의창구,14403291
2020-09,48123,성산구,15779258
2020-09,48125,마산합포구,11851428
2020-09,48127,마산회원구,10638427
2020-09,48129,진해구,10452688
2020-10,48121,의창구,20080322
2020-10,48123,성산구,21765454
2020-10,48125,마산합포구,16797224
2020-10,48127,마산회원구,14939448
2020-10,48129,진해구,14532725
2020-11,48121,의창구,18915374
2020-11,48123,성산구,21116111
2020-11,48125,마산합포구,15788998
2020-11,48127,마산회원구,14204567
2020-11,48129,진해구,13559896
2020-12,48121,의창구,18528692
2020-12,48123,성산구,20729619
2020-12,48125,마산합포구,15783035
2020-12,48127,마산회원구,13911867
2020-12,48129,진해구,13561637
2021-01,48121,의창구,18571781
2021-01,48123,성산구,20723158
2021-01,48125,마산합포구,15710949
2021-01,48127,마산회원구,13859776
2021-01,48129,진해구,13569365
2021-02,48121,의창구,17401008
2021-02,48123,성산구,19152864
2021-02,48125,마산합포구,14498988
2021-02,48127,마산회원구,12961831
2021-02,48129,진해구,12477835
2021-03,48121,의창구,20096378
2021-03,48123,성산구,21839782
2021-03,48125,마산합포구,16425624
2021-03,48127,마산회원구,14495140
2021-03,48129,진해구,14490916
2021-04,48121,의창구,19828583
2021-04,48123,성산구,21220588
2021-04,48125,마산합포구,15780593
2021-04,48127,마산회원구,14223390
2021-04,48129,진해구,13967070
2021-05,48121,의창구,20221375
2021-05,48123,성산구,21224995
2021-05,48125,마산합포구,16059903
2021-05,48127,마산회원구,14506013
2021-05,48129,진해구,14340209
2021-06,48121,의창구,19467884
2021-06,48123,성산구,20122741
2021-06,48125,마산합포구,15301613
2021-06,48127,마산회원구,13983139
2021-06,48129,진해구,13580509
2021-07,48121,의창구,16413546
2021-07,48123,성산구,23199803
2021-07,48125,마산합포구,15456020
2021-07,48127,마산회원구,14013482
2021-07,48129,진해구,13781292
