행정기관,연령(만),합계,남,녀
동읍,0세,52,23,29
동읍,1세,67,29,38
동읍,2세,46,23,23
동읍,3세,81,42,39
동읍,4세,75,40,35
동읍,5세,92,45,47
동읍,6세,128,64,64
동읍,7세,118,60,58
동읍,8세,116,58,58
동읍,9세,166,88,78
동읍,10세,171,86,85
동읍,11세,162,86,76
동읍,12세,159,78,81
동읍,13세,162,88,74
동읍,14세,200,109,91
동읍,15세,192,95,97
동읍,16세,173,92,81
동읍,17세,162,87,75
동읍,18세,179,100,79
동읍,19세,197,112,85
동읍,20세,191,128,63
동읍,21세,221,125,96
동읍,22세,227,141,86
동읍,23세,204,126,78
동읍,24세,224,138,86
동읍,25세,214,127,87
동읍,26세,202,127,75
동읍,27세,214,137,77
동읍,28세,218,123,95
동읍,29세,194,121,73
동읍,30세,160,99,61
동읍,31세,184,114,70
동읍,32세,177,99,78
동읍,33세,168,89,79
동읍,34세,151,91,60
동읍,35세,149,83,66
동읍,36세,162,105,57
동읍,37세,178,92,86
동읍,38세,162,74,88
동읍,39세,199,92,107
동읍,40세,239,129,110
동읍,41세,257,121,136
동읍,42세,238,119,119
동읍,43세,261,130,131
동읍,44세,278,155,123
동읍,45세,261,131,130
동읍,46세,294,152,142
동읍,47세,294,143,151
동읍,48세,363,194,169
동읍,49세,422,227,195
동읍,50세,421,215,206
동읍,51세,408,198,210
동읍,52세,410,211,199
동읍,53세,442,215,227
동읍,54세,386,193,193
동읍,55세,376,190,186
동읍,56세,391,195,196
동읍,57세,385,208,177
동읍,58세,331,163,168
동읍,59세,384,199,185
동읍,60세,385,204,181
동읍,61세,447,240,207
동읍,62세,436,227,209
동읍,63세,354,191,163
동읍,64세,355,185,170
동읍,65세,334,166,168
동읍,66세,359,176,183
동읍,67세,329,161,168
동읍,68세,247,118,129
동읍,69세,250,123,127
동읍,70세,248,97,151
동읍,71세,183,97,86
동읍,72세,214,106,108
동읍,73세,210,104,106
동읍,74세,197,95,102
동읍,75세,178,94,84
동읍,76세,103,52,51
동읍,77세,140,59,81
동읍,78세,134,57,77
동읍,79세,144,53,91
동읍,80세,150,46,104
동읍,81세,125,42,83
동읍,82세,126,47,79
동읍,83세,97,31,66
동읍,84세,86,30,56
동읍,85세,86,23,63
동읍,86세,82,30,52
동읍,87세,56,14,42
동읍,88세,50,10,40
동읍,89세,39,11,28
동읍,90세,32,6,26
동읍,91세,24,4,20
동읍,92세,23,1,22
동읍,93세,16,1,15
동읍,94세,8,0,8
동읍,95세,2,1,1
동읍,96세,4,0,4
동읍,97세,2,1,1
동읍,98세,2,0,2
동읍,99세,0,0,0
동읍,100세,1,0,1
동읍,101세,0,0,0
동읍,102세,0,0,0
동읍,103세,0,0,0
동읍,104세,0,0,0
동읍,105세,0,0,0
동읍,106세,0,0,0
동읍,107세,0,0,0
동읍,108세,0,0,0
동읍,109세,0,0,0
동읍,110세 이상,0,0,0
북면,0세,321,157,164
북면,1세,470,250,220
북면,2세,493,250,243
북면,3세,526,277,249
북면,4세,614,340,274
북면,5세,667,361,306
북면,6세,725,354,371
북면,7세,729,363,366
북면,8세,696,369,327
북면,9세,683,337,346
북면,10세,695,355,340
북면,11세,624,328,296
북면,12세,554,278,276
북면,13세,487,233,254
북면,14세,440,237,203
북면,15세,362,175,187
북면,16세,315,155,160
북면,17세,260,144,116
북면,18세,268,139,129
북면,19세,251,125,126
북면,20세,245,137,108
북면,21세,275,172,103
북면,22세,303,174,129
북면,23세,280,154,126
북면,24세,290,171,119
북면,25세,353,203,150
북면,26세,319,174,145
북면,27세,367,200,167
북면,28세,428,220,208
북면,29세,435,228,207
북면,30세,508,239,269
북면,31세,538,262,276
북면,32세,534,274,260
북면,33세,590,277,313
북면,34세,672,314,358
북면,35세,658,293,365
북면,36세,754,391,363
북면,37세,896,437,459
북면,38세,932,448,484
북면,39세,1034,508,526
북면,40세,1077,528,549
북면,41세,1084,557,527
북면,42세,1025,578,447
북면,43세,810,422,388
북면,44세,764,415,349
북면,45세,687,358,329
북면,46세,641,361,280
북면,47세,571,320,251
북면,48세,585,314,271
북면,49세,559,290,269
북면,50세,596,293,303
북면,51세,557,287,270
북면,52세,616,306,310
북면,53세,622,304,318
북면,54세,605,264,341
북면,55세,616,269,347
북면,56세,587,278,309
북면,57세,611,303,308
북면,58세,507,232,275
북면,59세,677,337,340
북면,60세,658,337,321
북면,61세,750,366,384
북면,62세,734,383,351
북면,63세,593,324,269
북면,64세,549,285,264
북면,65세,547,275,272
북면,66세,485,252,233
북면,67세,439,221,218
북면,68세,360,178,182
북면,69세,366,184,182
북면,70세,331,189,142
북면,71세,239,122,117
북면,72세,255,113,142
북면,73세,257,129,128
북면,74세,211,110,101
북면,75세,199,105,94
북면,76세,119,62,57
북면,77세,140,69,71
북면,78세,156,66,90
북면,79세,146,67,79
북면,80세,138,52,86
북면,81세,118,46,72
북면,82세,130,43,87
북면,83세,116,40,76
북면,84세,81,19,62
북면,85세,94,22,72
북면,86세,73,17,56
북면,87세,78,21,57
북면,88세,57,12,45
북면,89세,48,11,37
북면,90세,38,10,28
북면,91세,36,3,33
북면,92세,18,2,16
북면,93세,20,3,17
북면,94세,15,2,13
북면,95세,5,0,5
북면,96세,7,0,7
북면,97세,3,1,2
북면,98세,3,0,3
북면,99세,4,0,4
북면,100세,2,0,2
북면,101세,0,0,0
북면,102세,1,0,1
북면,103세,0,0,0
북면,104세,0,0,0
북면,105세,0,0,0
북면,106세,0,0,0
북면,107세,1,0,1
북면,108세,0,0,0
북면,109세,0,0,0
북면,110세 이상,0,0,0
대산면,0세,17,6,11
대산면,1세,20,9,11
대산면,2세,25,13,12
대산면,3세,23,16,7
대산면,4세,13,9,4
대산면,5세,22,9,13
대산면,6세,31,22,9
대산면,7세,21,13,8
대산면,8세,27,15,12
대산면,9세,28,14,14
대산면,10세,28,11,17
대산면,11세,34,16,18
대산면,12세,36,20,16
대산면,13세,25,17,8
대산면,14세,43,18,25
대산면,15세,33,18,15
대산면,16세,40,22,18
대산면,17세,41,21,20
대산면,18세,41,23,18
대산면,19세,38,20,18
대산면,20세,43,30,13
대산면,21세,59,34,25
대산면,22세,56,35,21
대산면,23세,53,31,22
대산면,24세,64,39,25
대산면,25세,61,36,25
대산면,26세,59,37,22
대산면,27세,58,30,28
대산면,28세,49,21,28
대산면,29세,51,28,23
대산면,30세,53,29,24
대산면,31세,69,38,31
대산면,32세,57,39,18
대산면,33세,63,43,20
대산면,34세,62,34,28
대산면,35세,46,28,18
대산면,36세,51,32,19
대산면,37세,62,40,22
대산면,38세,87,58,29
대산면,39세,61,37,24
대산면,40세,79,47,32
대산면,41세,71,40,31
대산면,42세,75,42,33
대산면,43세,53,30,23
대산면,44세,73,47,26
대산면,45세,74,46,28
대산면,46세,69,34,35
대산면,47세,61,34,27
대산면,48세,99,60,39
대산면,49세,110,65,45
대산면,50세,95,56,39
대산면,51세,122,64,58
대산면,52세,102,49,53
대산면,53세,118,53,65
대산면,54세,127,60,67
대산면,55세,122,58,64
