연번,구분,관리기관(연락처),구,읍면동,주차장명,지번, 일반 , 장애인 , 친환경_경차,비고
1,노상,창원시설공단(070-4317-0137),의창구,도계동,도계초등 노상, 의창구 도계동 438(도계초 복개천),41,2,,
2,노상,창원시설공단(070-4317-0137),의창구,봉곡동,경남은행명곡지점노상, 의창구 봉곡동 502-41,39,2,,
3,노상,창원시설공단(070-4317-0137),성산구,내동,내동상가옆 노상, 성산구 내동 456-2  ,17,1,,
4,노상,창원시설공단(070-4317-0137),성산구,반림동,청금길 노상,성산구 반림동 501-3(트리비앙 및 반송시장 앞),30,,,
5,노상,창원시설공단(070-4317-0137),성산구,상남동,신한하나은행 노상, 성산구 상남동 501-4,37,1,,
6,노상,창원시설공단(070-4317-0137),성산구,성주동,성주사역 노상, 성산구 성주동 521,41,1,,
7,노상,창원시설공단(070-4317-0137),성산구,신월동,중심업무지구 노상, 한국은행/경남신문사일원,309,15,,
8,노상,창원시설공단(070-4317-0137),성산구,용호동,시청뒷길 노상, 시청-성산아트홀사이,52,3,,
9,노상,창원시설공단(070-4317-0137),성산구,용호동,용지호수 앞 노상, 의창구 용호동 500-8(용지호수 앞),73,4,,
10,노상,창원시설공단(070-4317-0137),성산구,용호동,용지호수 파리바게트 앞 노상,성산구 용호동 500-8,17,1,,
11,노상,창원시설공단(070-4317-0137),성산구,용호동,정우상가 노상,성산구 용호동 73 일원,37,1,,
12,노상,창원시설공단(070-4317-0137),성산구,용호동,한마음 노상,성산구 용호동 73 일원,36,1,,
13,노상,창원시설공단(070-4317-0137),성산구,용호동,한성 노상,성산구 용호동 73 일원,8,,,
14,노상,창원시설공단(070-4317-0137),성산구,중앙동,한서병원앞 노상, 성산구 중앙동 517-3,29,1,,
15,노상,마산합포구 경제교통과(055-220-4436),마산합포구,신포동,해안로 주차장, 마산합포구 남성동 246-1 일원,84,1,,
16,노상,마산합포구 경제교통과(055-220-4436),마산합포구,중앙동,장군동 주차장, 마산합포구 중앙동3가 3-8,47,,,부림동 노외주차장공동 위탁
17,노상,마산회원구 경제교통과(055-230-4445),마산회원구,석전동,마산역 노상, 마산회원구 석전동 267,140,1,,
18,노상,마산회원구 경제교통과(055-230-4445),마산회원구,양덕2동,산호천 노상," 마산회원구 양덕동 36-2, 934-8",98,2,,
19,노상,진해구 경제교통과(055-548-4436),진해구,충무동,"중원,화천동",경상남도 창원시 중원동로 75 일원,84,1,,
20,노외,창원시설공단(070-4317-0137),의창구,명서동,명서상업지구 노외," 의창구 명서동 200-3, 4",27,1,4," 무인운영, 직영 "
21,노외,창원시설공단(070-4317-0137),의창구,봉곡동,봉곡주차장, 의창구 봉곡동 138-1 ~ 4,90,4,3," 유무인병행, 직영 "
22,노외,의창구 경제교통과(055-212-4434),의창구,봉림동,창원중앙역, 의창구 사림동 167,179,6,, 추후 위탁 예정 
23,노외,의창구 경제교통과(055-212-4434),의창구,의창동,창원육교 하부, 의창구 소계동 130-299~308,107,2,, 추후 위탁 예정 
24,노외, 캠코(051-794-4296) ,의창구,팔룡동,팔룡동 복합공영주차빌딩, 의창구 팔용동 31-3,201,6,35,
