"번호","행정구역","행정동","위치","설치장소",""
"1","성산구","가음정동","창원시 성산구 대암로 40-4 ","남창원농협 종합유통센터",""
"2","성산구","가음정동","창원시 성산구 대암로 40-4 ","창원중앙병원",""
"3","성산구","가음정동","창원시 성산구 대정로 39 ","가음정119안전센터",""
"4","성산구","가음정동","창원시 성산구 가음정로43번길 1 ","가음정빌딩",""
"5","성산구","사파동","창원시 성산구 동산로 156","삼익종합상가",""
"6","성산구","사파동","창원시 성산구 가양로124번길 13","X-mall빌딩",""
"7","성산구","사파동","창원시 성산구 창이대로881번길 11 ","대동디지털황토아파트",""
"8","성산구","사파동","창원시 성산구 대정로 138","대동훼미리코아상가",""
"9","성산구","반송동","창원시 성산구 원이대로473번길 25","반송시장",""
"10","성산구","반송동","창원시 성산구 반송로 60","현대오일뱅크",""
"11","성산구","중앙동","창원시 성산구 용지로58","메가플렉스빌딩",""
"12","성산구","중앙동","창원시 성산구 원이대로580번길 11 ","중앙동오거리",""
"13","성산구","중앙동","창원시 성산구 중앙대로83번길","삼일상가",""
"14","성산구","중앙동","창원시 성산구 중앙대로 37","경남오피스텔",""
"15","성산구","중앙동","창원시 성산구 중앙대로 95","기산파라다이스빌딩",""
"16","성산구","중앙동","창원시 성산구 마디미로22번길 17","평화상가",""
"17","성산구","중앙동","창원시 성산구 외동 631-2","창원병원 버스정류장",""
"18","성산구","상남동","창원시 성산구 상남동 24","상남분수광장",""
"19","성산구","상남동","창원시 성산구 마디미로 10","상남동 두바빌딩",""
"20","성산구","상남동","창원시 성산구 마디미로22번길 17","롯데하이마트",""
"21","성산구","상남동","창원시 성산구 마디미로21번길 17","피아노빌딩",""
"22","성산구","상남동","창원시 성산구 단정로 32","한사랑빌딩",""
"23","성산구","상남동","창원시 성산구 마디비로3번길 18","시민생활체육관",""
"24","성산구","상남동","창원시 성산구 마디미로43번길 2","상남지석묘",""
"25","성산구","상남동","창원시 성산구 성산구 단정로 7","밀레니엄타워",""
"26","성산구","상남동","창원시 성산구 마디미로56번길 2","레알주차장빌딩",""
"27","성산구","상남동","창원시 성산구 마디미서로 60","창원고용복지플러스센터",""
"28","성산구","상남동","창원시 성산구 마디미로73번길 20","백제빌딩",""
"29","성산구","상남동","창원시 성산구 마디미로15번길 11","로데오주차장",""
"30","성산구","상남동","창원시 성산구 중앙대로100번길 9","리베라컨벤션",""
"31","성산구","상남동","창원시 성산구 동산로 122","스카이웰빙파크",""
"32","성산구","상남동","창원시 성산구 토월로27번길 18 ","상남꿈에그린상가",""
"33","성산구","성주동","창원시 성산구 안민안길 52","성주동행정복지센터",""
"34","성산구","성주동","창원시 성산구 대암로247","더스퀘어상가",""
"35","성산구","웅남동","창원시 성산구 신촌로 21","유신상가",""
"36","성산구","웅남동","창원시 성산구 신촌로 83(신촌동 22-2)","양곡상가(웅남어린이공원)",""
"37","성산구","용지동","창원시 성산구 원이대로581","정우상가",""
"38","성산구","용지동","창원시 성산구 외동반림로 206","무학상가",""
"39","성산구","용지동","창원시 성산구 원이대로579번길15","용지아이파크아파트",""
"40","성산구","용지동","창원시 성산구 용지로169번길15","레이크펄스빌딩",""
"41","성산구","용지동","창원시 성산구 원이대로320","시티세븐",""
"42","성산구","용지동","창원시 성산구 용호로65","용호일동아파트삼거리",""
"43","의창구","팔 룡 동","팔용동 103-4","팔룡동행정복지센터 앞",""
"44","의창구","팔 룡 동","남산로 87","팔룡동 벽산아파트 주변",""
"45","의창구","팔 룡 동","평산로 96","팔룡동 웰빙프라자 앞",""
"46","의창구","팔 룡 동","사화로 84","벽산블루밍 108 앞",""
"47","의창구","팔 룡 동","팔용동 701-6","경남창원과학진흥원 앞",""
"48","의창구","팔 룡 동","소계로 12","경남테크노밸리 앞",""
"49","의창구","팔 룡 동","차용동 9-1","창원종합버스터미널 앞",""
"50","의창구","팔 룡 동","창원대로397번길 34","파티마빌딩 사거리",""
"51","의창구","팔 룡 동","팔용동 164-8","팔룡동 탑마트 앞",""
"52","의창구","팔 룡 동","팔용동 31-1","아티움시티 101동 앞",""
"53","의창구","팔 룡 동","팔용동 33-5","아티움시티 102동 앞",""
"54","의창구","팔 룡 동","팔용동 538","아티움시티 103동 앞",""
"55","의창구","팔 룡 동","팔용동 538","아티움시티 105동 앞",""
"56","의창구","팔 룡 동","팔용동 31-3","복합공영주차장 앞",""
"57","의창구","팔 룡 동","팔용동 700-1","창원테크노파크 2",""
"58","의창구","북 면","감계로110번길54-3","감계지구 상업지구",""
"59","의창구","북 면","감계리232-2","북면감계복지회관 앞",""
"60","의창구","북 면","북면 무동리 145-1","무동휴먼빌3차아파트 앞",""
"61","의창구","북 면","동전로 63","감계힐프라자 맞은편",""
"62","의창구","북 면","무동리 121-4","무동초등학교 삼거리",""
"63","의창구","북 면","감계리 731-2","감계초등학교 앞",""
"64","의창구","북 면","북면 동전리 113","동전산단1",""
"65","의창구","북 면","북면 동전리 39-1","동전산단2",""
"66","의창구","북 면","북면 화천리 637-7","동전산단3",""
"67","의창구","북 면","북면 화천리 676-6","동전산단4",""
"68","의창구","북 면","감계리 7-12","북면초등학교 앞",""
"69","의창구","북 면","무동리 252","무동상가 안쪽",""
"70","의창구","의 창 동","천주로36번길 2","동정동 흥한웰가 맞은편",""
"71","의창구","의 창 동","읍성로 25","의안민원센터 옆",""
"72","의창구","의 창 동","중동로 46","유니시티 1~2단지",""
"73","의창구","의 창 동","중동 784-1","어반브릭스 뒤",""
"74","의창구","의 창 동","읍성로 116","GS칼텍스 상하주유소 앞",""
"75","의창구","의 창 동","중동 795-3","유니시티 3~4단지",""
"76","의창구","의 창 동","도계동 456-3","도계중학교 앞 교차로",""
"77","의창구","의 창 동","중동 795-5","어반브릭스오피스텔 앞",""
"78","의창구","의 창 동","중동 795-4","의창초등학교 앞",""
"79","의창구","의 창 동","중동 795-8","SJ빌딩 앞",""
"80","의창구","의 창 동","중동 778-2","스타유니시티 빌딩",""
"81","의창구","의 창 동","중동 780","의창소방서 앞",""
"82","의창구","의 창 동","소답동171","소답초등학교 앞",""
"83","의창구","봉 림 동","지귀로 130","봉곡어린이집 맞은편",""
"84","의창구","봉 림 동","봉곡동 502-1","지귀상가 맞은편",""
"85","의창구","봉 림 동","상남로 381","창원중앙역 앞",""
"86","의창구","봉 림 동","용동 산29-7","창원중앙역 회전로타리",""
"87","의창구","봉 림 동","용동로 45","현대썬앤빌창원더스퀘어1",""
"88","의창구","봉 림 동","용동로 39번길","현대썬앤빌창원더스퀘어2",""
"89","의창구","봉 림 동","사림동 165-9","사림동 165-9 앞",""
"90","의창구","봉 림 동","사림동 163-2","한마음국제의료원",""
"91","의창구","봉 림 동","사림동 162-5","한마음국제의료원",""
"92","의창구","봉 림 동","의창구 소봉로 43","한들초등학교 앞",""
"93","의창구","봉 림 동","지귀로60번길 13-13","상북초등학교 앞",""
"94","의창구","명 곡 동","도계로 61","도계동 새마을금고 앞",""
"95","의창구","명 곡 동","도계동 467","도계스포츠센터 앞",""
"96","마산합포구","오동동","창원시 마산합포구 3․15대로 366","평안안과 사거리",""
"97","마산합포구","오동동","창원시 마산합포구 합포로 46-1","흥림조명 삼거리",""
"98","마산합포구","산호동","창원시 마산합포구 용마로 51","산호교차로",""
"99","마산합포구","월영동","창원시 마산합포구 가포로 14","한전 서마산변전소 앞",""
"100","마산합포구","오동동","창원시 마산합포구 합포로 69","박동석 이비인후과앞 교차로",""
"101","마산합포구","월영동","창원시 마산합포구 해안대로 35","월영동 마산우리요양병원 앞",""
"102","마산합포구","월영동","창원시 마산합포구 해안대로 11","월영동 월드프라자 앞",""
"103","마산합포구","반월중앙동","창원시 마산합포구 3․15대로 230","제일병원 앞",""
"104","마산합포구","오동동","창원시 마산합포구 합포로 21","어시장 흥농종묘사 앞",""
"105","마산합포구","오동동","창원시 마산합포구 3․15대로 314","서성광장 교차로",""
"106","마산합포구","문화동","창원시 마산합포구 해안대로 1","월영광장 교차로",""
"107","마산합포구","문화동","창원시 마산합포구 해안대로 1","월영광장 교차로, 삼우빌딩 주변",""
"108","마산합포구","교방동","창원시 마산합포구 북성로 96","노산동 상남우체국앞",""
"109","마산합포구","완월동","창원시 마산합포구 장장군로 31","장군교",""
"110","마산합포구","오동동","창원시 마산합포구 동서북10길 57","창동사거리",""
"111","마산합포구","자산동","창원시 마산합포구 자산솔밭로 52","자산동 한우아파트 옆",""
"112","마산합포구","문화동","창원시 마산합포구 문화동4길 1","연세병원 장례식장 입구",""
"113","마산합포구","자산동","창원시 마산합포구 자산삼거리로 2","홍내과의원앞(자산동)삼거리",""
"114","마산합포구","합포동","창원시 마산합포구 합포로 147","합포초등학교 앞 사거리",""
"115","마산합포구","오동동","창원시 마산합포구 문화의길 36","오동동사거리",""
"116","마산합포구","진동면","창원시 마산합포구 해양관광로 24","진동시장 입구",""
"117","마산합포구","반월중앙동","창원시 마산합포구 3․15대로 176","남명세비앙 앞 ",""
"118","마산합포구","완월동","창원시 마산합포구 장군동4가 3","마산의료원 앞",""
"119","마산합포구","오동동","창원시 마산합포구 제2부두로 55","마산소방서 앞 ",""
"120","마산합포구","현동","창원시 마산합포구 현동 490","현동초등학교 앞",""
"121","마산합포구","현동","창원시 마산합포구 현동로 50","현동주상가",""
"122","마산합포구","문화동","창원시 마산합포구 3.15대로 9","마크리움 앞",""
"123","마산합포구","반월중앙동","창원시 마산합포구 3.15대로 210","창원시 마산합포구청 앞",""
"124","마산합포구","오동동","창원시 마산합포구 동서동로 18 ","롯데백화점 앞",""
"125","마산합포구","산호동","창원시 마산합포구 합포로 215","경남은행산호동지점 앞",""
"126","마산합포구","오동동","창원시 마산합포구 불종거리로 30","경남은행오동동지점 앞",""
"127","마산합포구","오동동","창원시 마산합포구 3.15대로 341","부림종합주방 앞",""
"128","마산합포구","가포동","창원시 마산합포구 가포동 338","가포스마트시티 I",""
"129","마산합포구","가포동","창원시 마산합포구 가포동 237-2","가포스마트시티 II",""
"130","마산합포구","가포동","창원시 마산합포구 가포동 산121-2","가포스마트시티 III",""
"131","마산합포구","합포동","창원시 마산합포구 합포로 162","칸타빌오션뷰 앞",""
"132","마산합포구","월영동","창원시 마산합포구 월영동 621-89","마린애시앙GATE1",""
"133","마산합포구","월영동","창원시 마산합포구 월영동 621-85","고운초 주변 삼거리",""
"134","마산합포구","월영동","창원시 마산합포구 월영동 621-40","청량산 터널 전 사거리",""
"135","마산합포구","월영동","창원시 마산합포구 가포동 508-60 ","마린애시앙GATE2",""
"136","마산합포구","월영동","창원시 마산합포구 월영동 728-1","소방정대 사거리",""
"137","마산합포구","교방동","창원시 마산합포구 교방동 390","교방동롯데캐슬사거리 1",""
"138","마산합포구","교방동","창원시 마산합포구 교방동 390","교방동롯데캐슬사거리 2",""
"139","마산합포구","산호동","창원시 마산합포구 산호북17길 25(산호동)","산호동 야구거리주변(양지주차장 앞)",""
"140","마산합포구","산호동","창원시 마산합포구 회원동북로 53(산호동)","산호초등학교 옆 사거리",""
"141","마산합포구","산호동","창원시 마산합포구 산호남로 50","용마초등학교 앞 삼거리",""
"142","마산합포구","월영동","창원시 마산합포구 대내동 8-1","월포초등학교 앞 정문",""
"143","마산합포구","현동","창원시 마산합포구 현동1399","현동초등학교 앞 교차로",""
"144","마산회원구","양덕2동","창원시 마산회원구 율림교로13","양덕2동사거리 앞",""
"145","마산회원구","합성1동","창원시 마산회원구 3.15대로","CGV맞은편",""
"146","마산회원구","회원1동","창원시 마산회원구 북성로 116-1","회산다리위 농협 맞은편",""
"147","마산회원구","회원1동","창원시 마산회원구 3.15대로 496","농협부산우유 맞은편",""
"148","마산회원구","석전동","창원시 마산회원구 3.15대로 639","경남은행 본점 맞은편",""
"149","마산회원구","회원1동","창원시 마산회원구 회원동 17길41","국제주유소 맞은편",""
"150","마산회원구","합성1동","창원시 마산회원구 3.15대로 805","해바라기한의원 앞",""
"151","마산회원구","석전동","창원시 마산회원구 3.15대로 688","365병원 앞",""
"152","마산회원구","석전동","창원시 마산회원구 3.15대로 169","타이어프로 석전동점 앞",""
"153","마산회원구","내서읍","창원시 마산회원구 내서읍 삼계로 13","내서농협 삼계지점 앞",""
"154","마산회원구","석전동","창원시 마산회원구 양덕로 194","마산역사거리 라온치과병원 앞",""
"155","마산회원구","봉암동","창원시 마산회원구 봉양로 122","재규어랜드로버코리아 앞",""
"156","마산회원구","내서읍","창원시 마산회원구 내서읍 호계본동로 17","코오롱하늘채 2차 정문 맞은편",""
"157","마산회원구","내서읍","창원시 마산회원구 내서읍 상곡로 22","내서문화체육센터 앞",""
"158","마산회원구","합성2동","창원시 마산회원구 3.15대로 750","시외버스터미널 출차로 롯데리아 앞",""
"159","마산회원구","내서읍","창원시 마산회원구 내서읍 삼계로2","웰빙프라자 앞",""
"160","마산회원구","합성2동","창원시 마산회원구 구암남1길 78","창원삼성병원 육교 앞",""
"161","마산회원구","봉암동","창원시 마산회원구 봉양로 73","영경당 앞",""
"162","마산회원구","석전동","창원시 마산회원구 3.15대로 709","한화생명 맞은편 부산전기학원 앞",""
"163","마산회원구","석전동","창원시 마산회원구 삼호로 244","북성초등학교 교차로 앞",""
"164","마산회원구","내서읍","창원시 마산회원구 내서읍 삼계로 29","삼계우체국 앞",""
"165","마산회원구","양덕2동","창원시 마산회원구 양덕서5길 1","양덕코오롱 앞",""
"166","마산회원구","석전동","창원시 마산회원구 양덕옛2길 25","석전동 우성상가 석전주차장 앞",""
"167","마산회원구","석전동","창원시 마산회원구 양덕서8길 9","신세계의원 앞",""
"168","마산회원구","석전동","창원시 마산회원구 석전동8길 1","석전초교 사거리 석전신협 앞",""
"169","마산회원구","합성2동","창원시 마산회원구 합성옛길 147","국민은행 동마산지점",""
"170","마산회원구","양덕1동","창원시 마산회원구 양덕로 186","베스트수병원",""
"171","마산회원구","합성1동","창원시 마산회원구 3.15대로 787","새마을금고 동마산본점 앞",""
"172","마산회원구","석전동","창원시 마산회원구 3.15대로 582","석전삼거리",""
"173","마산회원구","내서읍","창원시 마산회원구 내서읍 삼계10길","마산삼계1주공상가 앞",""
"174","마산회원구","양덕2동","창원시 마산회원구 양덕서로 47","메트로스퀘어5상가 앞",""
"175","마산회원구","합성2동","창원시 마산회원구 합성옛길 174","마산시외버스터미널 하차장 앞",""
"176","마산회원구","구암1동","창원시 마산회원구 금강로","하이트진로 공장 앞",""
"177","마산회원구","양덕2동","창원시 마산회원구 용마로 130","메트로센텀 앞",""
"178","마산회원구","양덕2동","창원시 마산회원구 삼호로 63","창원NC파크마산구장 앞",""
"179","마산회원구","양덕2동","창원시 마산회원구 합포로","양덕광장교차로",""
"180","마산회원구","석전동","창원시 마산회원구 삼호로","마산회원노인종합복지관",""
"181","마산회원구","내서읍","창원시 마산회원구 광려천서로 81","ISC PLAZA 복합빌딩",""
"182","마산회원구","합성2동","창원시 마산회원구 합성동 623","CU 맞은편",""
"183","마산회원구","양덕2동","창원시 마산회원구 양덕동 84-13","가고파초등학교&솔빛길유치원주변",""
"184","마산회원구","합성1동","창원시 마산회원구 합성동 637-33","합성초등학교 앞",""
"185","마산회원구","양덕1동","창원시 마산회원구 양덕동 25","영진빌 앞",""
"186","진해구","웅동2동","창원시 진해구 안청남로 30","새안골 삼거리",""
"187","진해구","웅동2동","창원시 진해구 신항동로 143","신항만이지더원아파트",""
"188","진해구","이동","창원시 진해구 충장로 434","이동119안전센터",""
"189","진해구","석동","창원시 진해구 석동로 40","동부초등학교 앞",""
"190","진해구","자은동","창원시 진해구 냉천로 106","석동 성원아파트 도로",""
"191","진해구","석동","창원시 진해구 냉천로 47","석동주공아파트 사거리",""
"192","진해구","석동","창원시 진해구 진해대로776번길 28","석동농협 앞 교통섬",""
"193","진해구","자은동","창원시 진해구 냉천로126번길 6","자은동 사랑의 교회 앞",""
"194","진해구","웅동2동","창원시 진해구 용재로 108","용원동 송원갈비 앞",""
"195","진해구","병암동","창원시 진해구 경화동 1007-13","해군교육사령부 앞",""
"196","진해구","자은동","창원시 진해구 냉천로 156","자은동 에이스빌딩 앞",""
"197","진해구","풍호동","창원시 진해구 충장로657번길 24","풍호동 마린푸르지오2단지 앞",""
"198","진해구","웅동2동","창원시 진해구 신항4로 58","신항부영아파트13단지 앞",""
"199","진해구","웅동2동","창원시 진해구 신항5로 54","신항 초록오름공원 앞",""
"200","진해구","석동","창원시 진해구 석동로 66","진해국민체육센터",""
"201","진해구","웅동2동","창원시 진해구 용원로7번길 18","용원 엘룩스상가",""
"202","진해구","웅동2동","창원시 진해구 용원로7번길 10","용원 문화의거리",""
"203","진해구","덕산동","창원시 진해구 풍호로 41","농심가마트 삼거리",""
"204","진해구","충무동","창원시 진해구 충장로 148-1","대야삼거리",""
"205","진해구","웅동2동","창원시 진해구 안골로 338","용원 하나로마트 부근",""
"206","진해구","웅동2동","창원시 진해구 신항동로 141","애플타운 사거리",""
"207","진해구","웅천동","창원시 진해구 남문동 1292","웅천초등학교 후문",""
"208","진해구","자은동","창원시 진해구 냉천로 205","냉천초등학교",""
"209","진해구","웅천동","창원시 진해구 남영로 41","세스페데스공원 사거리",""
"210","진해구","풍호동","창원시 진해구 장천동 474-3","대동다숲 오거리",""
"211","진해구","웅동2동","창원시 진해구 용원동 1307","용원동 복합공영주차빌딩 사거리",""
"212","진해구","웅동2동","창원시 진해구 안골동 389","안청초등학교 사거리",""
"213","진해구","석동","창원시 진해구 석동 666-1","석동초등학교 삼거리",""
"214","진해구","석동","창원시 진해구 석동 274","석동공영주차빌딩",""
