구분,기관명,위치,주차면
의창구,봉림고등학교,의창구 창이대로333번길 39,66
의창구,창원고등학교,의창구 태복산로 45,54
의창구,상북초등학교,의창구 지귀로60번길13-13,50
의창구,경남관광고등학교,의창구 사림로29번길 12,43
의창구,봉림초등학교,의창구 사림로16번길 21,25
의창구,창원초등학교,의창구 읍성로 5-1,31
의창구,경상남도교육연수원,의창구 사림로111번길 22,232
의창구,창원대산고등학교,의창구 진산대로 379,21
의창구,창덕중학교,의창구 동읍 의창대로900번길 12,33
의창구,명곡여자중학교,의창구 우곡로 159번길 32,31
의창구,경상고등학교,의창구 금강로379번길 46,26
의창구,팔룡중학교,의창구 사화로104번길 3,29
의창구,온천초등학교,의창구 북면 신리길30번길 17,20
의창구,창북중학교,의창구 북면 무동서로 8,63
의창구,창원동중학교,의창구 동읍로 189,40
의창구,소답초등학교,의창구 의창대로317번길 41,44
의창구,사화초등학교,의창구 의창구 반계로80번길 7,28
의창구,창원예닮교회,의창구 원이대로150번길 12,20
의창구,북면온천교회,의창구 북면 천주로 1128번길 2-15,23
성산구,남산중교,성산구 가음정로 157,63
성산구,신월중학교,성산구 신월로 37번길 12,37
성산구,안남중교,성산구 창이대로899번길 13,56
성산구,동산초교,성산구 단정로 126,37
성산구,웅남초교,성산구 단정로 75,44
성산구,상남중학교,성산구 동산로55번길 9,24
성산구,안남초등학교,성산구 가양로 158,49
성산구,남양초등학교,성산구 가음로 13번길 5,48
성산구,웅남중학교,성산구 단정로98번길 8,49
성산구,반송초등학교,성산구 반송로 133,50
성산구,반송여자중학교,성산구 반송로 168,39
성산구,용지초등학교,성산구 원이대로538번길 24,43
성산구,사파중학교,성산구 신사로 155,54
성산구,반송중학교,성산구 반송로 182,28
성산구,교통문화연수원,성산구 반송로 149,120
성산구,사파초등학교,성산구 원이대로 773번길 27,29
성산구,삼정자중학교,성산구 외리로34번길 32,40
성산구,양곡초등학교,성산구 양곡길 102,25
성산구,토월중학교,성산구 원이대로 687,40
성산구,유목초등학교,성산구 반송로 29번길 15,36
성산구,창원은광교회,성산구 토월로44번길 20,10
성산구,창원침례교회,성산구 비음로55번길 43,14
성산구,용호초등학교,성산구 용지로169번길 76,57
성산구,창원천광학교,성산구 원이대로878번길 20,30
성산구,반송제일교회,성산구 원이대로473번길 1,13
성산구,한국교통공단경남,성산구 창원천로94번길 82-4,24
성산구,순복음창원교회,성산구 단정로98번길 3-28,13
성산구,창원성결교회,성산구 창이대로 664번길 31,30
마산합포구,마산의신여중교,마산합포구 교방동 207,30
마산합포구,교방초등학교,마산합포구 교방동 376-8,51
마산합포구,상남초등학교,마산합포구 합포서13길 12,28
마산합포구,무학초등학교,마산합포구 자산동 8길 6,20
마산합포구,합포중학교,마산합포구 산호남 10길 18,20
마산합포구,산호초등학교,마산합포구 회원동북로 53,23
마산합포구,월영초등학교,마산합포구 반월북1길 41,35
마산합포구,창원지방법원(마산지원),마산합포구 완월동7길 16,19
마산합포구,성호초등학교,마산합포구 성호동4길 21,27
마산합포구,해운초등학교,마산합포구 월영남로 24,38
마산합포구,완월초등학교,마산합포구 고운로 201,19
마산합포구,월포초등학교,마산합포구 월영북15길 35,13
마산합포구,마산서중학교,마산합포구 월영남로 6,26
마산합포구,합포초등학교,마산합포구 허당로 73,26
마산합포구,마산삼진중학교,마산합포구 진동면 성산길 51,35
마산합포구,구산초등학교,마산합포구 구산면 수정3길 8,19
마산합포구,월성초등학교,마산합포구 완월남1길 17,  36
마산합포구,새소명교회,마산합포구 합포동4길 26,21
마산합포구,상남교회,마산합포구 노산남6길 39-1,40
마산합포구,신마산제일교회,마산합포구 평화동 12-13,11
마산합포구,우산초등학교,마산합포구 진동면 미더덕로 378,10
마산합포구,정법사,마산합포구 몽고정길46,20
마산합포구,성막교회,마산합포구 완월동8길 38,15
마산회원구,합성초등학교,마산회원구 합성북16길 75,40
마산회원구,봉덕초등학교,마산회원구 봉덕1길 14,29
마산회원구,양덕초등학교,마산회원구 양덕동12길 86,41
마산회원구,마산교육지원센터,마산회원구 봉덕2길 3,53
마산회원구,석전초등학교,마산회원구 석전동로 8,23
마산회원구,마산동중학교,마산회원구 회원북7길 40,48
마산회원구,광려초등학교,마산회원구 내서읍 삼계1길 47,40
마산회원구,호계초등학교,마산회원구 광려천북로 182,33
마산회원구,회원초등학교,마산회원구 회원남로 51,30
마산회원구,내서초등학교,마산회원구 북성로 480,9
마산회원구,마산제일고등학교,마산회원구 내서읍 함마대로 2610,54
마산회원구,광려중학교,마산회원구 내서읍 광려로 108,51
마산회원구,마산중앙중학교,마산회원구 학교단지로 53-1,17
마산회원구,북성초등학교,마산회원구 석전북1길 3,10
마산회원구,한국국토정보공사,마산회원구 3.15대로 656,15
마산회원구,새누리교회,마산회원구 합성동11길 80,17
마산회원구,동마산재림교회,마산회원구 합성동3길 65,12
마산회원구,샤론교회,마산회원구 석전동 164-13,18
마산회원구,하은교회,마산회원구 내서읍 호원로 417-41,30
마산회원구,호계문창교회,마산회원구 내서읍 호계본동로 78,8
마산회원구,마산무학여중,마산회원구 회원동33길 17,13
진해구,동진중학교,진해구 덕산로46번길 25,49
진해구,대야초등학교,진해구 여좌로84번길 7,36
진해구,경화초등학교,진해구 경화로38번길 5,22
진해구,안청초등학교,진해구 안골로 303,45
진해구,용원중학교,진해구 용원로 77번길 16,40
진해구,석동중학교,진해구 석동로 40,29
진해구,장복초등학교,진해구 진해대로 728번길 21,50
진해구,웅천고등학교,진해구 웅천중로 71,33
진해구,진해교육지원센터,진해구 진해대로 776번길 11,41
진해구,진해고등학교,진해구 여좌로 100,46
진해구,진해중학교,진해구 여좌로 98,22
진해구,석동초등학교,진해구 석동로 85,30
진해구,풍호초등학교,진해구 풍호로 80,30
진해구,창원지방법원 진해등기소,진해구 진해대로 833,18
진해구,제황초등학교,진해구 제황로 32,10
진해구,동진여자중학교,진해구 진해대로982번길 26,34
진해구,덕산초등학교,진해구 덕산로46번길 15,40
진해구,진해침례교회,진해구 장천동 712-10,25
진해구,진해동부교회,진해구 충장로 455번길 19,25
